address,label_spender,nametag,type,total_tx_count,lifespan_hours,tx_density,mediated_theft_count,direct_in_count,mediated_op_ratio,token_flow_ratio,sender_receiver_ratio,is_ghost,top1_gas_payer_ratio,high_value_ratio
0x8b09f70c2c201da4952646210a0ba8840a8977d9,0,,EOA,2,32.33333333,0.06185567,0,0,0,0,0,0,0.5,0
0xc85c7242009523749c09c15c69b831dcacdcd280,0,,EOA,224,5437.97,0.041191842,157,0,1,0,0,0,0.986607143,0
0x97fbb1e3c2f4e010946b287a11cc99240381bbe1,0,,EOA,7,2583.333333,0.002709677,0,3,0,1.333333333,1.333333333,0,0,0
0x047e2ddd0ee60dd7924fa1b79ffbe3ca7a92d5fa,2,smart account by safe,CA,18,6155.726667,0.002924106,0,0,0,0,0,0,1,0
0x133a317f4ce1726a867d7277563e868810da0808,0,,CA,144,46.61666667,3.089023954,0,44,0,1,0.048780488,0,0.607142857,0
0xdb1f16a2d1ee5ae3ab4e700a1d105bd1923d394a,1,fake_phishing987539,CA,1,0,1,0,0,0,0,0,1,0,0
0x65743aa6c48223d3aab2d7e6c9ef5c2a6f19f26c,1,fake_phishing987971,CA,1,0,1,0,0,0,0,0,1,0,0
0x000087239d18337b35da64c7cb965c90f0c50000,1,fake_phishing681298,CA,153,196.54,0.778467488,0,9,0,2,1.111111111,0,0.371794872,0.444444444
0x66ef522863f8ecf6292ccb0be4eb11db6de3fea4,0,,EOA,135,2828.133333,0.047734666,0,35,0,1.428571429,0.4375,0,0.979591837,0.117647059
0x24978226ad45e9eb6de7ac2032124234d8a30acf,0,,CA,1,0,1,0,0,0,0,0,0,1,0
0xb69cdde4e59756500192a388c47a6e051a9e28b5,0,,EOA,2,33.26666667,0.06012024,0,0,0,0,0,0,0.5,0
0x0a2879ffbecba0aad837940d0eb03afe104609ec,1,fake_phishing680142,CA,1,0,1,0,0,0,0,0,1,0,0
0x00005cf21fa758b9ffebc9f946053cf0a2ce0000,1,fake_phishing588936,CA,358,346.1066667,1.034363202,0,22,0,1.863636364,1.272727273,0,0.489795918,0.222222222
0x43a4f6c578168ba2feb2ef0b48d23e6ef9e6cda9,0,,CA,1,0,1,0,0,0,0,0,1,0,0
0x3ff1310343252eaa0fdeec0aff87f153c5d55d6d,1,fake_phishing638796,CA,1,0,1,0,0,0,0,0,1,0,0
0x5951ce0264efcbf389449c28ae4243725e571f1a,1,fake_phishing987969,CA,1,0,1,0,0,0,0,0,1,0,0
0x867364cc6051d069b54c079c9a77febcfdf05bcc,1,fake_phishing638765,CA,1,0,1,0,0,0,0,0,1,0,0
0xc45431e52f2f4effcd7654428ef66cbb5946c8ec,1,fake_phishing987536,CA,1,0,1,0,0,0,0,0,1,0,0
0xbbf040f02556c1a118926288fd5a0c86f99b6ea2,0,,EOA,3,1198,0.002504174,1,0,1,0,0,0,0.666666667,0
0x009317216f4fbb491c5e4f3ae7750d72517d8c7f,0,,EOA,3,1818.11,0.001650065,0,0,0,0,0,0,0.666666667,0
0xd258ceab7147ee8e506d5216ec22115c40a018a3,0,,EOA,8,2817.786667,0.002839108,0,4,0,1,1.666666667,0,0,0
0x000000732876cec0b7159203d71445311f0a0000,1,fake_phishing607871,CA,228,168.3766667,1.354106864,0,16,0,2.375,0.888888889,0,0.495652174,0.277777778
0x310de6c0e50d309c98e7efcd0cec6c9b9d0321b7,1,fake_phishing995215,CA,1,0,1,0,0,0,0,0,1,0,0
0x7209c4e4d58da68278daa822f1c3782fe64058aa,1,fake_phishing638927,CA,1,0,1,0,0,0,0,0,1,0,0
0x8bcffd0de592633a7b13b4087e754a64bfc84b5d,0,,EOA,3,0.01,300,0,1,0,2,1,0,0,0
0x4642afa529f017258f24561c4c6f9e2ab796b5be,0,,CA,109,9959.493333,0.010944332,0,0,0,0,0,0,1,0
0xae6bb62795f6d1b438dc72ff8253d4ed6cceae9d,1,fake_phishing994959,CA,1,0,1,0,0,0,0,0,1,0,0
0x867d65dd34e97aa839b1671adc98bbbf4590fd9c,0,,EOA,8,2828.03,0.002828824,0,4,0,1,1.666666667,0,0,0
0xaaa5d01d957207e0fa26ff951355284e2f058330,1,fake_phishing681368,CA,1,0,1,0,0,0,0,0,1,0,0
0x00538b78018d089199643b33ab5f393790994bfb,0,,EOA,2,29.66333333,0.067423306,0,0,0,0,0,0,0.5,0
0xbd96bf838ac903be92f66f225d926210088e3d83,0,,EOA,15,2829.466667,0.005301352,0,11,0,0.363636364,3.666666667,0,0,0
0x467cac708313126d6a1b12fe1b4fa86e1156214d,1,fake_phishing588951,CA,1,0,1,0,0,0,0,0,1,0,0
0x57463fb3ff0f5b7282d46c58ff4de704e81fba2b,0,,EOA,15,2827.91,0.005304271,0,11,0,0.363636364,3.666666667,0,0,0
0xbf5a7f3629fb325e2a8453d595ab103465f75e62,2,portals.fi: router,CA,2430,15303.74333,0.158784681,0,2,0,0,1,0,0.044890727,0
0xa084fc52fc4857a72e27daf865299a59890078dd,0,,CA,2,3.596666667,0.556070436,0,0,0,0,0,0,1,0
0x59ca79fb4a230fd3f38f1f242ab34cae0663c7a5,0,,EOA,8,2828.69,0.002828164,0,4,0,1,1.666666667,0,0,0
